1,9,1,9,1,2,0
1,9,3,8,3,2,0
1,9,3,8,3,2,1
1,9,4,9,4,1,0
1,8,1,9,1,1,0
1,8,1,9,1,1,0
1,8,3,9,3,1,1
1,9,3,9,3,2,1
1,9,1,9,1,2,0
1,9,3,8,3,1,1
1,9,3,9,3,1,0
1,9,1,9,1,2,0
1,9,3,8,3,3,0
1,9,1,9,8,1,0
1,8,1,9,1,0,0
1,9,8,9,8,2,0
1,9,1,8,3,1,0
1,8,3,8,3,2,1
1,9,3,9,3,1,0
1,8,3,9,3,1,1
1,9,1,9,1,1,0
1,9,3,9,3,1,1
1,9,1,9,1,1,0
1,8,1,9,1,1,0
1,9,1,9,1,1,0
1,8,3,9,3,1,1
1,9,3,9,3,1,1
1,9,3,9,3,1,1
1,9,3,9,3,2,0
1,9,1,8,1,2,0
1,9,1,8,1,2,0
1,9,3,8,3,2,1
1,9,3,9,3,2,0
1,9,1,8,1,2,0
1,9,1,8,1,1,0
1,8,3,1,3,1,1
1,9,3,9,3,2,1
1,9,1,9,1,1,0
1,8,3,9,3,2,1
1,9,3,9,3,1,1
1,9,3,9,3,2,1
1,9,1,9,1,1,0
1,8,1,9,1,2,0
1,1,1,8,1,2,0
1,1,1,8,1,2,0
1,3,3,8,3,3,0
1,1,1,8,8,0,0
1,9,8,1,3,2,1
1,9,3,9,3,1,1
1,9,1,9,1,1,0
1,8,1,9,1,1,0
1,8,1,9,1,2,0
1,1,1,8,1,0,0
1,1,8,8,1,0,0
1,9,8,8,1,2,0
1,9,1,8,1,2,0
1,9,1,9,1,2,0
1,9,3,8,3,2,1
1,9,3,9,3,2,1
1,9,1,9,1,1,0
1,8,1,9,1,1,0
1,8,3,9,3,1,0
1,8,4,9,4,2,0
1,3,3,8,3,1,0
1,8,9,3,3,2,1
1,9,1,9,1,1,0
1,8,1,9,1,1,0
1,8,1,9,1,1,0
1,8,3,9,3,0,0
1,8,8,9,1,2,0
1,1,3,8,3,0,0
1,9,3,9,3,2,1
1,9,1,9,1,1,0
1,8,3,9,3,2,0
